Name,Quantity,Price,Link
SK6812 5050,38,6.33$/50pcs,https://aliexpress.ru/item/33015141472.html?sku_id=67232448537&spm=a2g2w.productlist.search_results.1.79e2f6115BepGJ 
4 pin Connector Sockets - angled,1,0.76$/10pcs,https://aliexpress.ru/item/1005008048770666.html?spm=a2g2w.detail.rcmdprod.5.69857e60008hrx&mixer_rcmd_bucket_id=eb9dde40e7725560&pdp_trigger_item_id=0_1005006124620974&ru_algo_pv_id=40c6a5-61b690-a58bcb-8ef019-1776837600  
4 pin Connector Sockets - vertical,1,0.64$/40pcs,https://aliexpress.ru/item/1005008048770666.html?spm=a2g2w.detail.rcmdprod.5.69857e60008hrx&mixer_rcmd_bucket_id=eb9dde40e7725560&pdp_trigger_item_id=0_1005006124620974&ru_algo_pv_id=40c6a5-61b690-a58bcb-8ef019-1776837600&scenario=aerSimilarItemPdpRcmd&sku_id=12000053275316065&traffic_source=recommendation&type_rcmd=core 
INMP441 module,1,0.84$,https://aliexpress.ru/item/1005004862555297.html?sku_id=12000030790772841&spm=a2g2w.productlist.search_results.0.32523a6eLyHTAb 
Li Po 1000 mAh,1,5.82$,https://aliexpress.ru/item/1005003380188983.html?sku_id=12000032368701982&spm=a2g2w.productlist.search_results.2.40526d4cXGZDAo
2-Pin Header 2mm,1,0.31$,https://aliexpress.ru/item/1005004613948731.html?sku_id=12000029835450870&spm=a2g2w.productlist.search_results.9.302c51b0yyWGWY
USB-C Receptacle only 6 pin,1,0.93$,https://aliexpress.ru/item/1005008515699009.html?sku_id=12000045521870266&spm=a2g2w.productlist.search_results.5.24681d87JnZ8Cv
ESP32 DevKit v1,1,3.68$,https://aliexpress.ru/item/1005008819591380.html?sku_id=12000052999823660&spm=a2g2w.productlist.search_results.0.3c3e5d52Qlsa3X
TP4056,1,0.2$,https://aliexpress.ru/item/1005001848329482.html?sku_id=12000046271485575&spm=a2g2w.productlist.search_results.5.3c313100eRxRgi
NTC 10k,1,0.53$ / 10pcs,https://aliexpress.ru/item/1005004726168052.html?sku_id=12000056723062683&spm=a2g2w.productlist.search_results.0.5fa968f1qkkRau
Unpolarized capacitor(THT) 10uF,2,0.97$ / 40pcs,https://aliexpress.ru/item/1005011811368397.html?sku_id=12000056639843396&spm=a2g2w.productlist.search_results.3.3965a781o3lQ5m
Unpolarized capacitor(THT) 22uF,2,0.97$ / 40pcs,https://aliexpress.ru/item/1005011811368397.html?sku_id=12000056639843396&spm=a2g2w.productlist.search_results.3.3965a781o3lQ5m
MT3608,1,1.38$ / 10pcs,https://aliexpress.ru/item/1005008853748359.html?sku_id=12000046953414150&spm=a2g2w.productlist.search_results.7.18213931Q3K6tn
Inductor 4.7uH,1,0.54$ / 10pcs,https://aliexpress.ru/item/1005001705755960.html?sku_id=12000017231427125&spm=a2g2w.productlist.search_results.0.785e3f77BPwvvW
LED Diode,2,0.78$ / 60 pcs,https://aliexpress.ru/item/1005006462860778.html?sku_id=12000037284612047&spm=a2g2w.productlist.search_results.0.3ed83a7dea1klO
Schottky diode,1,0.88$ / 50pcs,https://aliexpress.ru/item/1005005913997312.html?sku_id=12000034823544465&spm=a2g2w.productlist.search_results.0.546051ab0lyg7e
Resistor 110k,1,0.4$ / 100pcs,https://aliexpress.ru/item/1005005305821597.html?sku_id=12000032565737692&spm=a2g2w.productlist.search_results.5.7d115d05CC9O6f
